target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_SIZE
4,0.6,0.5,0.5454545454545454,3,2,3,2,5,1,VARSmall/returns,data_0.csv,8.726119995117188e-05,5
5,0.8,0.6666666666666666,0.7272727272727272,4,1,2,3,5,1,VARSmall/returns,data_0.csv,7.677078247070312e-05,5
6,0.8,0.6666666666666666,0.7272727272727272,4,1,2,3,5,1,VARSmall/returns,data_0.csv,7.724761962890625e-05,5
7,0.4,0.3333333333333333,0.3636363636363636,2,3,4,1,5,1,VARSmall/returns,data_0.csv,7.534027099609375e-05,5
8,0.6,0.5,0.5454545454545454,3,2,3,2,5,1,VARSmall/returns,data_0.csv,7.581710815429688e-05,5
9,0.4,0.3333333333333333,0.3636363636363636,2,3,4,1,5,1,VARSmall/returns,data_0.csv,7.462501525878906e-05,5
0,0.5,0.5,0.5,3,3,3,1,6,1,VARSmall/returns,data_0.csv,9.059906005859375e-05,6
1,0.5,0.5,0.5,3,3,3,1,6,1,VARSmall/returns,data_0.csv,0.00013303756713867188,6
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,2,6,1,VARSmall/returns,data_0.csv,0.00012946128845214844,6
3,0.5,0.5,0.5,3,3,3,1,6,1,VARSmall/returns,data_0.csv,0.00012373924255371094,6
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,2,6,1,VARSmall/returns,data_0.csv,0.0001285076141357422,6
5,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,2,6,1,VARSmall/returns,data_0.csv,0.0001285076141357422,6
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,2,6,1,VARSmall/returns,data_0.csv,0.00012636184692382812,6
7,0.5,0.5,0.5,3,3,3,1,6,1,VARSmall/returns,data_0.csv,0.00012826919555664062,6
8,0.5,0.5,0.5,3,3,3,1,6,1,VARSmall/returns,data_0.csv,0.00012874603271484375,6
9,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,4,4,0,6,1,VARSmall/returns,data_0.csv,0.00012564659118652344,6
0,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2,1,7,1,VARSmall/returns,data_0.csv,0.00013875961303710938,7
1,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2,1,7,1,VARSmall/returns,data_0.csv,0.00012755393981933594,7
2,0.7142857142857143,0.8333333333333334,0.7692307692307692,5,2,1,2,7,1,VARSmall/returns,data_0.csv,0.0001354217529296875,7
3,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2,1,7,1,VARSmall/returns,data_0.csv,0.00012421607971191406,7
4,0.7142857142857143,0.8333333333333334,0.7692307692307692,5,2,1,2,7,1,VARSmall/returns,data_0.csv,0.00012946128845214844,7
